guninₓ	buniŋₓ
a₂⁻	a₂
te₈⁻	te₈
niŋen₆	niŋin₆
unu⁻	unu
unug⁻	unug
sem₅	šem₅
sem₃	šem₃
šagan₂	šakan₃
anše⁻	anše
zizi	sisi
ninta₂	nita₂
madul	mudul
buluŋ₂	bulug₂
haruba	harub
dara₆	dar
tara₄	dara₄
er₁₄	re₇
suhuš⁻	suhuš
barim⁻	barim
gir₅⁻	gir₅
im₂⁻	im₂
kaš₄⁻	kaš₄
šaha₂	šah₂
du₅⁺	du₅
dun₃⁺	dun₃
tun₃⁺	tun₃
eŋar	egar
asaŋ	esaŋₓ
asila⁻	asila
bešeŋ	bisaŋ
ašaŋ₂	esaŋ₂
kiŋgal	kingal
saga₇	sag₇
niŋdanₓ	nindan
niŋdanaₓ	nindan
nindanaₓ	nindan
geg	gig
irra	ir₉
alim⁻	alim
giri₁₆⁻	giri₁₆
ŋessu	ŋissu
ŋessun	ŋissu
aštub	eštub
eldig	ildag₃
gaz⁻	gaz
ha⁺	ha
gir⁻	gir
kir⁻	kir
peš⁻	peš
huš⁻	huš
tu₁₁⁺	tu₁₁
saga₁₀	sag₁₀
dulum	ildum₂
uktim	uktin
dubsig	dubsik
duggu	dungu
še₂₆⁻	še₂₆
gu₇⁻	gu₇
hurin	hirin
ŋepar	ŋiparₓ
keše	keš
kiše	kiš
eheh	ehehhe
aza₂	azag
kuŋ₂	kun
gerin	girin
niŋen₂	niŋin₂
niŋen	niŋin
dulₓ	tul₈
niŋen₅	niŋin₆
kuŋgala	gukkal
irina₃	rin₅
mašgagen	mašda₂
geg₂	gig₂
gegge	giggi
ŋur₂₄	mur₇
ŋurgu₂	murgu₂
ŋurgu	murgu
subi₄	šuba₄
se₂₄	še₁₂
amagea	amagi₂
susin	šušin
susina	šušin
šušun	šušum
subi₃	šuba₃
ŋešnu₃	nud
naŋar	nagar
dulum₂	ildum₃
gibil⁻	gibil
tum₃⁻	tum₃
šilam⁻	šilam
musubₓ	munsubₓ
saba	sab
isina	isin
niŋdaba	nindaba
niŋdaba₂	nindabaₓ
piriŋ⁺	piriŋ
nemur₂	nimurₓ
ug⁻	ug
az⁻	az
dil₂⁻	dil₂
sumur⁻	sumur
sur₂⁻	sur₂
kuš₂⁻	kuš₂
šur₂⁻	šur₂
kiše₄	kiši₄
galla₄	gal₄
ŋešdan₄	ŋidlam₄
ŋešdana₄	ŋidlam₄
ŋeštan₄	ŋidlam₄
ŋeštana₄	ŋidlam₄
ŋešdan	ŋidlam
ŋešdana	ŋidlam
ŋeštan	ŋidlam
ŋeštana	ŋidlam
gaiₓ	gambi
gaiₓ	gambi
zulumhi⁻	zulumhi
su₃⁻	su₃
sud⁻	sud
šitan	šita₃
šiten	šita₃
isla	išla
ŋešninbar	ŋešnimbar
bebad	bibad
ezinam₃	ezina₃
ezinam₂	ezina₂
ezinan₂	ezina₂
giri₁₃	gir₁₃
babir₂	bappir₂
babir	bappir
šembi⁻	šembi
šeneg	šinig
ašgi₂	aš₇
saha	šah
ŋulla	gulla
maru	ru₁₀
maru⁻	maru
tel₃	til₃
dašgari	taškarin
tuba₄	tug₂
egur₄	egir₄
de₁₀	di₄
nimar	niŋar
šara₉	šarag
zibbir	zimbir
irimma	erim₃
ŋešgal	ŋišgal
lu₇⁻	lu₇
ulu₃⁻	ulu₃
uru₁₇⁻	uru₁₇
pansur	banšur
ŋešdan₂	ŋidlam₂
ŋešdana₂	ŋidlam₂
ŋeštan₂	ŋidlam₂
ŋeštana₂	ŋidlam₂
ŋešdan₃	ŋidlam₃
ŋešdana₃	ŋidlam₃
ŋeštan₃	ŋidlam₃
ŋeštana₃	ŋidlam₃
usu₃	uzu
ze₄	za
subi₂	šuba₂
gariŋ₂	garig
abbar	ambar
arata	aratta
bansur	banšur
da₆	tag
dubsig	dupsik
e₄	a
edin	eden
enim	inim
ge	gi
ge₄	gi₄
ge₁₇	gig
gegge	giggi
gen₇	gin₇
giri₁₇	kiri₃
ŋešgem	ŋeškim
innana	inana
i₇	id₂
kur₄	gur₄
mer	mir
niŋen	niŋin
niŋen₂	niŋin₂
para₁₀	barag
ses	šeš
sila₁₁	silaŋ
sipa	sipad
šumun	sumun
tu₉	tug₂
uruda	urud
zeₓ(SIG₇)	ziₓ(IGI@g)
