eš₁₀	e₄
duru₅	dur₅
emₓ	e₄
ea	e₄
aia	ai
am₃	a₄
šeŋ₃	še₇
šeg₃	še₇
šemₓ	še₇
erua	eru₄
erum₄	eru₄
ummudₓ	ummuₓ
ummudₓ	ummu₃
kuara₂	kuar₂
girima₃	girim₃
šešₓ	šeₓ
ira₂	ir₂
era₂	er₂
idₓ	iₓ
itu₅	it₂
ida₂	id₂
id₂	i₇
it₂	i₇
iti₅	it₂
ita₅	it₂
eduru	edur
saha₇	sah₇
zaha₃	zah₃
amuša	amuš
a₂⁻	a₂
ahi₂	ah₅
te₈⁻	te₈
ah₅	a₂
idi₂	id
lirum₅	liru₅
lirum₄	liru₄
ʾa	ʾ
ʾe	ʾ
ʾi	ʾ
ʾu	ʾ
eša₃	eš₃
esa₃	es₃
ešeₓ	eš₃
aba	ab
zabalam₆	zabala₆
siraran	sirara
unugₓ	unuₓ
gunuₓ	gunₓ
unug	unu
unu⁻	unu
guna₄	gun₄
aba₄	ab₄
erin₅	eri₁₁
unug⁻	unug
gunu₄	gun₄
erim₅	eri₁₁
liti	lit
lid	li₈
lit	li₈
let	le₈
liṭ	li₈
rimu₂	rim₂
reme₂	rem₂
liṭi	liṭ
unud	unu₃
kiri₉	kir₂
uba₅	ub₅
ada	ad
aba₃	ab₃
aq	a₅
akiₓ	ak
aka	ak
ak	a₅
aqa	aq
kid₃	ki₃
ag	a₅
ala₃	al
maha₂	mah₂
marad	mara₂
mara₂	mar₂
ṣuru	ṣur
dinir	dir₃
ilu	il₃
dimer	dir₃
digir	dir₃
anu	an
dingira	dingir
sagₓ	sa₈
diŋir	dir₃
ana₂	an
ili	il₃
diner	dir₃
dibur	dir₃
dimir	dir₃
ila	il₃
anzud	anzu
anzud₂	anzu₂
niggin	niggi
anše⁻	anše
duru₃	dur₃
dur₃	du₂₅
mulu	mul
uru₄	ur₁₁
engara	engar
apina	apin
eru	er₃
eri₃	er₃
erum	eru
nintah₂	ninta₂
nitah₂	nita₂
santag	santa
lirum₂	liru₂
dele	del
aša	aš
deli	del
rum	ru₃
santak	santa
ina	in₆
dili	dil
imina₃	imin₃
dili₄	dil₄
santak₃	santa₃
dele₄	del₄
santag₃	santa₃
ṣibi	ṣib
asa₂	as₂
aša₂	aš₂
utu₅	ut₂
zara₅	zar₅
paṭ₂	paₓ
med	me₄
pet₂	pe₃
bat	ba₉
bata	bat
pad₂	paₓ
bad	ba₉
pit₂	pi₃
bit₂	bi₄
pat₂	paₓ
baṭ	ba₉
baragₓ	bara₄
bada	bad
met	me₄
mitu	mit
bid₂	bi₄
miti	mit
pid₂	pi₃
zara₆	zar₆
buruₓ	burₓ
aluraₓ	alurₓ
pala₄	pal
balak	bala
bala	bal
gudu₁₀	gud₁₀
bare	bar
bar	ba₁₅
para₂	par₂
bara	bar
parag	para₁₀
šara	šar₆
barag	bara₂
šar₆	ša₂₃
bara₂	bar₂
biz	bi
šaqum	šaqu
bappira₃	bappir₃
git₂	gi₂₇
sugₓ	su₁₃
giṭ₂	gi₂₇
gidi₃	gid₂
ildumₓ	ilduₓ
surₓ	su₁₃
suš₃	su₁₃
gid₂	gi₂₇
gidim₃	gidi₃
gida₂	gid₂
sud₄	su₁₃
gim₇	gi₂₇
sir₂	siₓ
bur₁₂	bu
magara	magar
buru	bur
puru	pur
sun₅	su₁₆
ušum	ušu
buru₂	bur₂
dun₅	du₉
bul₂	bu₈
bur₂	bu₈
buru₅	bur₅
bara₃	bar₃
barag₂	bara₃
dak	da₈
daq	da₈
dag	da₈
haru₄	harₓ
hara₄	harₓ
akani	akan
kisim₄	kisiₓ
lahtan₆	lahta₆
amaša	amaš
haruba	harub
dama	dam
tam₂	ta₄
dam	da₄
ṭam	ṭa₄
dar	daₓ
gunu₃	gun₃
dara₆	dar
gun₃	guₓ
tarah	tara₃
dara₃	dar₃
tara₃	tar₃
tarahₓ	tara₄
dara₄	dar₄
ganam₆	gana₆
ua₂	u₁₀
sim₃	si₈
sal₂	sa₂
silima	silim
silim	siliₓ
dip	diₓ
dibi	dib
dib	diₓ
dabe	dab
daba	dab
tim	ti₃
dim	di₁₁
munu	mun
dima₂	dim₂
mušdam	mušda
šidim	šidi
gim	gi₁₈
gen₇	ge₁₈
gin₇	gi₁₈
kem	ke₅
kim	ki₅
gem	ge₁₈
dim₂	diₓ
mušdama	mušdam
gimi	gim
kin₈	ki₅
tim₃	ti₂
din	di₂
tin	ti₂
dini	din
ili₆	il₄
ana	anₓ
santak₄	santa₄
diša	diš
santag₄	santa₄
eša₅	eš₅
kurₓ	kuₓ
ginaₓ	gin
kup	kuₓ
guba	gub
gubu	gub
kub	kuₓ
tumu₂	tum₂
tuma₂	tum₂
dulₓ	du
tum₂	tu₃
laha₅	lah₅
lalah₂	lah₅
ereₓ	erₓ
sugₓ	suₓ
subₓ	suₓ
lalahₓ	lahₓ
rige₁₂	rig₁₂
laha₄	lah₄
sug₂	su₈
sub₂	su₈
lalah	lah₄
subₓ	suₓ
sugₓ	suₓ
suhuš⁻	suhuš
giri₆	gir₆
girim₂	giri₅
giri₅	gir₅
barim⁻	barim
kas₄	ka₇
kamaš	kaš₄
kaš₄	ka₇
im₂⁻	im₂
gir₅⁻	gir₅
kaš₄⁻	kaš₄
gana₃	gan₃
subₓ	suₓ
sugₓ	suₓ
dehi	deh
duba	dub
dubu	dub
urudu₂	urud₂
duba₂	dub₂
dubu₂	dub₂
duka	duk
lumu₃	lum₃
lutu	lut
luṭu	luṭ
dugud	duguₓ
duguda	dugud
duh	du₈
duru₉	dur₉
šaha₂	šah₂
duna	dun
šahan₃	šaha₂
sul	su₁₇
dun	du₂₄
dur₉	du₂₄
tun₃⁺	tun₃
du₅⁺	du₅
tun₃	tu₁₈
dug₅	du₅
tug₈	tu₁₈
dun₃⁺	dun₃
dulₓ	du₅
tuna₃	tun₃
sug₅	su₁₈
dun₃	du₅
gina₂	gin₂
miri	mir
migir	mir
mere	mer
duru₂	dur₂
durun	duru₂
duruna	durun
durum₂	duru₂
eg₂	e
guru₂₁	gur₂₁
kurul₁₄	kuru₁₄
kuru₁₄	kur₁₄
biti	bit
aʾ₃	a₁₄
betu	bet
bitu	bit
eʾ₃	e₂
agrunaₓ	agrun
agrun	agruₓ
araha	arah₄
edena	eden
edina	edin
erua₂	eru₅
egera	eger
eŋera	eŋer
ili₅	il₅
ele₂	el
uru₁₆	urₓ
urunₓ	uru₁₆
eni	en
enu	en
ena	en
enegir₃	enegi₃
suena	suen
zuena	zuen
mermeri₂	mermer₂
merimeri₂	merimer₂
buru₁₄	bur₁₄
eburuₓ	ebur
enkara	enkar
merimeri	merimer
mermeri	mermer
erena	eren
šeš₄	še₂₂
erina	erin
erena₂	eren₂
rina₂	rin₂
erina₂	erin₂
ṣapa	ṣap
uba₂	ub₂
egir₂	egi
eger₂	ege
ger₁₅	ge₇
ŋer₁₅	ŋe₇
ŋir₁₅	ŋi₇
gir₁₅	gi₇
eše₂	eš₂
karaₓ	karₓ
guruₓ	gurₓ
zid₂	zi₃
ezena	ezen
asilalₓ	asilaₓ
ezema	ezem
asilaₓ	asilₓ
silal	sil₆
asilal₃	asila₃
asila₃	asil₃
asila₅	asil₅
asilal₅	asila₅
asila₄	asil₄
asilal₄	asila₄
bat₃	ba₈
ug₅	u₉
bad₃	ba₈
un₃	u₉
uk₅	u₉
bada₃	bad₃
ubₓ	u₉
uŋ₅	u₉
uga₅	ug₅
dugina	dugin
dugina₂	dugin₂
ubara	ubar
kisiga	kisig
gubalaga	gubalag
asilal	asila
asila⁻	asila
asila	asil
asila₆	asil₆
asilal₆	asila₆
gar₉	ga
gara₉	gar₉
gara₁₁	gar₁₁
garaš₃	garaₓ
gara₁₀	gar₁₀
gara₂	gar₂
mala	mal
mal	ma₃
dagala	dagal
sabad₂	sad₃
gagia₂	gagi₂
gagia	gagi
išhurum₅	išhuru₅
menaₓ	men
min₇	mi₄
itima	itim
ura₃	ur₃
uru₁₂	ur₃
išhuru₄	išhur₄
ami₂	am₅
ame₂	am₅
ama₅	am₅
sabad₃	sad₄
sabad	sad₂
ṭuh	ṭu₅
gaba	gab
gada	gad
gadu	gad
gala₈	gal
gale	gal
santana	santan
šandana	šandan
tirum	tiru
sukud	sukuₓ
guru₂	gur₂
gurum	guru₂
saga₇	sag₇
kana	kan
gana	gan
išhurum₃	išhuru₃
kana₂	kan₂
ašag	aša₅
gana₂	gan₂
kara₂	kar₂
guru₆	gur₆
nindanaₓ	nindan
gara	gar
gar	ga₄
niqiₓ	niq₂
niŋdanaₓ	niŋdanₓ
nig₂	ni₃
niq₂	ni₃
nindan	ninda
niŋ₂	ni₃
nik₂	ni₃
garak₅	gara
nin₆	ni₃
nim₅	ni₃
nigiₓ	nig₂
gara₃	gar₃
ugunu₂	ugun₂
ŋeština	ŋeštin
geština	geštin
sig₁₇	si₂₂
gen₆	ge
gin₆	gi
taru₅	tar₅
gib	gi₁₆
gili	gil
gilim	gili
gilibₓ	gili
gil	gi₁₆
gel	ge₁₆
gib₃	gi₁₇
geg	ge₁₇
gig	gi₁₇
ŋiri₂	ŋir₂
giri₂	gir₂
meri₃	mer₃
kišik₂	kiši₁₇
kišig₂	kiši₁₇
giru₃	gir₃
ŋiri₃	ŋir₃
giri₃	gir₃
šaggina	šaggin
alim⁻	alim
alima	alim
girid₂	giri₁₆
giri₁₆⁻	giri₁₆
giri₁₆	gir₁₆
lulima	lulim
giša	giš
ŋessun	ŋessu
ŋištug₃	ŋištu₃
gištug₃	gištu₃
ŋeštug₃	ŋeštu₃
geštug₃	geštu₃
geštug₂	geštu₂
ŋištug₂	ŋištu₂
gištug₂	gištu₂
ŋeštug₂	ŋeštu₂
lirum₃	liru₃
duru₄	dur₄
durum₄	duru₄
guru₁₇	gur₁₇
sah₄	saₓ
gun₂	gu₂
ṭuru	ṭur
usan₂	usaₓ
gudu	gud
gara₄	gar₄
gud	gu₄
dapara	dapar
gurₓ	gu₄
ama₂	am
gulu	gul
sumunu₂	sumun₂
sumuna₂	sumun₂
isim₂	isi₂
sumun₂	sun₂
suna₂	sun₂
isimu₂	isim₂
gum	gu₈
naŋa₄	naŋ₄
kum	ku₁₃
qum	qu
gaz⁻	gaz₂
naga₄	nag₄
kun₃	ku₁₃
naga₃	nag₃
gaza	gaz
naŋa₃	naŋ₃
guru	gur
gura	gur
quru	qur
guru₇	gur₇
gurumₓ	guru₂₀
gurun	guru₂₀
buru₇	bur₇
kua	ku₆
ha⁺	ha
kuara	kuar
zaha₂	zah₂
saha₆	sah₆
peš⁻	peš
kir⁻	kir
gir⁻	gir
piša	piš
kiri	kir
qiri	qir
ŋiri	ŋir
giri	gir
buru₈	bur₈
hala	hal
buruh	buru₈
dugu	dug₃
