šeŋ₃	šeg₃
esaŋ	esag
aŋarin	agarin
aŋarin₂	agarin₂
niŋin₆	nigin₆
alaŋ	alag
diŋir	digir
saŋtak	sagtak
saŋtak₃	sagtak₃
imŋaŋaₓ	imgagaₓ
imŋaŋa	imgaga
imŋaŋa₃	imgaga₃
imŋaŋa₂	imgaga₂
saŋmaš	sagmaš
balaŋ	balag
buluŋ₅	bulug₅
buluŋ	bulug
buluŋ₂	bulug₂
ŋarim₂	garim₂
ŋin	gin
ŋen	gen
ŋim₆	gim₆
giŋ₄	gim₂
aŋa₃	aga₃
niŋir	nigir
niŋir₂	nigir₂
ŋaₓ	maₓ
eŋar	egar
esaŋₓ	esagₓ
eŋaraₓ	egaraₓ
esaŋₓ	esagₓ
eŋer	eger
eŋir	egir
eŋera	egera
tunŋal₂	tungal₂
ŋeššir	geššir
ŋiššir	giššir
nimŋirŋirri₂	nimgirgirri₂
ŋer₁₅	ger₁₅
huŋ	hug
ŋe₇	ge₇
ŋir₁₅	gir₁₅
ŋi₇	gi₇
uŋ₅	ug₅
pisaŋ	pisag
ŋa₂	ga₂
bisaŋ	bisag
ŋe₂₆	ge₂₆
daŋal	dagal
aŋarin₃	agarin₃
aŋarin₄	agarin₄
aŋarin₅	agarin₅
ŋaiku	gaiku
ŋaburra	gaburra
ŋasikilla	gasikilla
ŋasibir	gasibir
eŋara	egara
ŋalga	galga
ŋagia	gagia
ŋaŋirsu	gagirsu
ŋahalla	gahalla
ŋahili	gahili
ŋalilla	galilla
ŋanun	ganun
esaŋ₂	esag₂
esaŋtur	esagtur
kindaŋal	kindagal
niŋ₂	nig₂
ŋar	gar
ŋar₃	gar₃
ŋeštin	geštin
ŋeština	geština
ŋiri₂	giri₂
ŋir₂	gir₂
ŋir₃	gir₃
ŋiri₃	giri₃
ŋiri₁₆	giri₁₆
ŋizal	gizal
ŋisal	gisal
ŋiš	giš
ŋiz	giz
ŋeš	geš
ŋissu	gissu
ŋištug₃	gištug₃
ŋeštug₃	geštug₃
ŋeštu₃	geštu₃
ŋištu₃	gištu₃
ŋištu₂	gištu₂
ŋeštug₂	geštug₂
ŋeštu₂	geštu₂
ŋištug₂	gištug₂
ŋizzal	gizzal
naŋa₄	naga₄
naŋ₄	nag₄
naŋa₃	naga₃
naŋ₃	nag₃
ŋuruš	guruš
ŋir	gir
ŋiri	giri
saŋŋar₂	saggar₂
ellaŋ₂	ellag₂
ŋal₂	gal₂
ŋeškim	geškim
aŋrig	agrig
ŋiškim	giškim
ŋiskim	giskim
ŋa₆	ga₆
šeŋ₇	šeg₇
šeŋₓ	šegₓ
šeŋₓ	šegₓ
šeŋ₁₄	šeg₁₄
aŋar₆	agar₆
aŋar₅	agar₅
naŋ	nag
šaŋar	šagar
ŋili₃	gili₃
ŋeli₃	geli₃
ŋiriₓ	giriₓ
ŋešbun₂	gešbun₂
ŋišbun	gišbun
ŋešbun	gešbun
