# LAK SVG but not including LAK numbers with commas in images/lak/svg
@label	LAK
@path	images/lak/svg
o0000106	LAK001.svg	LAK001
o0027232	LAK002.svg	LAK002
o0000349	LAK003.svg	LAK003
o0000245	LAK004.svg	LAK004
o0000236	LAK005.svg	LAK005
o0000213	LAK006.svg	LAK006
o0000214	LAK007.svg	LAK007
o0000099	LAK008.svg	LAK008
o0000796	LAK009.svg	LAK009
o0000642	LAK010.svg	LAK010
o0000311	LAK011.svg	LAK011
o0000291	LAK012.svg	LAK012
o0000313	LAK013.svg	LAK013
o0000457	LAK014.svg	LAK014
o0002016	LAK015.svg	LAK015
o0000114	LAK016.svg	LAK016
o0000555	LAK017.svg	LAK017
o0000553	LAK018.svg	LAK018
o0000118	LAK019.svg	LAK019
o0000321	LAK020.svg	LAK020
o0000322	LAK021.svg	LAK021
o0000469	LAK022.svg	LAK022
o0002840	LAK023.svg	LAK023
o0000491	LAK024.svg	LAK024
o0000338	LAK025.svg	LAK025
o0000293	LAK026.svg	LAK026
o0000344	LAK027.svg	LAK027
o0000345	LAK028.svg	LAK028
o0000273	LAK029.svg	LAK029
o0000350	LAK030.svg	LAK030
o0000581	LAK031.svg	LAK031
o0002834	LAK032.svg	LAK032
o0002740	LAK033.svg	LAK033
o0000444	LAK034.svg	LAK034
o0000445	LAK035.svg	LAK035
o0000487	LAK036.svg	LAK036
o0000362	LAK037.svg	LAK037
o0000499	LAK038.svg	LAK038
o0002848	LAK039.svg	LAK039
o0000158	LAK040.svg	LAK040
o0000119	LAK041.svg	LAK041
o0000449	LAK042.svg	LAK042
o0000451	LAK043.svg	LAK043
o0027568	LAK044.svg	LAK044
o0000897	LAK045.svg	LAK045
o0000193	LAK046.svg	LAK046
o0000539	LAK047.svg	LAK047
o0000458	LAK048.svg	LAK048
o0023005	LAK049.svg	LAK049
o0000390	LAK050.svg	LAK050
o0031506	LAK051.svg	LAK051
o0000131	LAK052.svg	LAK052
o0000141	LAK053.svg	LAK053
o0000976	LAK054.svg	LAK054
o0000978	LAK055.svg	LAK055
o0000142	LAK056.svg	LAK056
o0000446	LAK057.svg	LAK057
o0000595	LAK058.svg	LAK058
o0000843	LAK059.svg	LAK059
o0002617	LAK060.svg	LAK060
o0025727	LAK061.svg	LAK061
o0018530	LAK062.svg	LAK062
o0001425	LAK063.svg	LAK063
o0000239	LAK064.svg	LAK064
o0001466	LAK065.svg	LAK065
o0001470	LAK066.svg	LAK066
o0001469	LAK068.svg	LAK068
o0027540	LAK069.svg	LAK069
o0002714	LAK070.svg	LAK070
o0000474	LAK071.svg	LAK071
o0000130	LAK072.svg	LAK072
o0027589	LAK073.svg	LAK073
o0000534	LAK074.svg	LAK074
o0000514	LAK075.svg	LAK075
o0000488	LAK076.svg	LAK076
o0021460	LAK077.svg	LAK077
o0002125	LAK078.svg	LAK078
o0025793	LAK079.svg	LAK079
o0000418	LAK080.svg	LAK080
o0000246	LAK082.svg	LAK082
o0000525	LAK083.svg	LAK083
o0002337	LAK084.svg	LAK084
o0002365	LAK085.svg	LAK085
o0000526	LAK086.svg	LAK086
o0000093	LAK087.svg	LAK087
o0000226	LAK088.svg	LAK088
o0000199	LAK089.svg	LAK089
o0000544	LAK090.svg	LAK090
o0000430	LAK091.svg	LAK091
o0000421	LAK092.svg	LAK092
o0000310	LAK093.svg	LAK093
o0000426	LAK094.svg	LAK094
o0000483	LAK095.svg	LAK095
o0002110	LAK096.svg	LAK096
o0002098	LAK097.svg	LAK097
o0002106	LAK098.svg	LAK098
o0025817	LAK099.svg	LAK099
o0027636	LAK100.svg	LAK100
o0027634	LAK101.svg	LAK101
o0002113	LAK102.svg	LAK102
o0002087	LAK103.svg	LAK103
o0002102	LAK104.svg	LAK104
o0002118	LAK105.svg	LAK105
o0223371	LAK106.svg	LAK106
o0223370	LAK107.svg	LAK107
o0002118	LAK108.svg	LAK108
o0002109	LAK109.svg	LAK109
o0002107	LAK110.svg	LAK110
o0002112	LAK111.svg	LAK111
o0002103	LAK112.svg	LAK112
o0002086	LAK113.svg	LAK113
