Q87554995	U+12000
Q87554997	U+12001
Q87554999	U+12002
Q87555001	U+12003
Q87555003	U+12004
Q87555005	U+12005
Q87555007	U+12006
Q87555010	U+12007
Q87555012	U+12008
Q20639233	U+12009
Q87555015	U+1200A
Q87555017	U+1200B
Q87555019	U+1200C
Q87555021	U+1200D
Q87555022	U+1200E
Q87555024	U+1200F
Q87555026	U+12010
Q87555028	U+12011
Q87555029	U+12012
Q87555034	U+12013
Q87555035	U+12014
Q87555037	U+12015
Q87555039	U+12016
Q87555041	U+12017
Q87555043	U+12018
Q87555045	U+12019
Q87555047	U+1201A
Q87555050	U+1201B
Q87555052	U+1201C
Q87555054	U+1201D
Q87555057	U+1201E
Q87555059	U+1201F
Q87555061	U+12020
Q87555064	U+12021
Q87555066	U+12022
Q87555068	U+12023
Q87555070	U+12024
Q87555072	U+12025
Q87555074	U+12026
Q87555076	U+12027
Q87555078	U+12028
Q87555079	U+12029
Q87555081	U+1202A
Q87555083	U+1202B
Q87555086	U+1202C
Q87555087	U+1202D
Q87555089	U+1202E
Q87555091	U+1202F
Q87555094	U+12030
Q87555096	U+12031
Q87555099	U+12032
Q87555101	U+12033
Q87555102	U+12034
Q87555104	U+12035
Q87555106	U+12036
Q87555108	U+12037
Q87555110	U+12038
Q87555112	U+12039
Q87555113	U+1203A
Q87555116	U+1203B
Q87555117	U+1203C
Q87555120	U+1203D
Q87555122	U+1203E
Q87555124	U+1203F
Q87555126	U+12040
Q87555128	U+12041
Q87555131	U+12042
Q87555133	U+12043
Q87555136	U+12044
Q87555138	U+12045
Q87555140	U+12046
Q87555142	U+12047
Q87555144	U+12048
Q87555146	U+12049
Q87555147	U+1204A
Q87555149	U+1204B
Q87555151	U+1204C
Q87555153	U+1204D
Q87555155	U+1204E
Q87555157	U+1204F
Q87555159	U+12050
Q87555160	U+12051
Q87555161	U+12052
Q87555162	U+12053
Q87555163	U+12054
Q87555170	U+12055
Q87555171	U+12056
Q87555173	U+12057
Q87555175	U+12058
Q87555178	U+12059
Q87555181	U+1205A
Q87555182	U+1205B
Q87555184	U+1205C
Q87555186	U+1205D
Q87555188	U+1205E
Q87555189	U+1205F
Q87555192	U+12060
Q87555194	U+12061
Q87555196	U+12062
Q87555198	U+12063
Q87555201	U+12064
Q87555202	U+12065
Q87555205	U+12066
Q87555208	U+12067
Q87555210	U+12068
Q87555213	U+12069
Q87555214	U+1206A
Q87555216	U+1206B
Q87555218	U+1206C
Q87555220	U+1206D
Q87555221	U+1206E
Q87555223	U+1206F
Q87555225	U+12070
Q87555227	U+12071
Q87555229	U+12072
Q87555230	U+12073
Q87555232	U+12074
Q87555234	U+12075
Q87555236	U+12076
Q87555237	U+12077
Q87555239	U+12078
Q87555241	U+12079
Q87555243	U+1207A
Q87555245	U+1207B
Q87555246	U+1207C
Q87555248	U+1207D
Q87555250	U+1207E
Q87555252	U+1207F
Q87555253	U+12080
Q87555255	U+12081
Q87555257	U+12082
