Q120264817	o0002231
Q120265199	o0002222
Q120265753	o0002225
Q120266031	o0001123 o0002221
Q120266638	o0002665 o0002666
Q120268108	o0002663 o0002666
Q120268631	o0002661 o0002666
Q120269076	o0000906 o0000911
Q120269385	o0001993
Q120269859	o0002000
Q120270029	o0001999
Q120270213	o0001466
Q120270450	o0001469
Q120270760	o0001191
Q120270914	o0001190
Q120271196	o0001188
Q120271361	o0000230
Q120271552	o0002006
Q120271766	o0002337
Q120271934	o0002385
Q120272251	o0002257
Q120273095	o0000440
Q120273352	o0001915
Q120273608	o0001590
Q120273826	o0001586
Q120273981	o0001583
Q120274220	o0001585
Q120274372	o0001587
Q120274525	o0001582
Q120274725	o0023027
Q120274927	o0002193
Q120275077	o0002208
Q120275213	o0002198
Q120275832	o0000858
Q120275994	o0002509
Q120276281	o0001459
Q120276423	o0000254 o0001461
Q120276601	o0001460
Q120276734	o0002461
Q120278114	o0002464
Q120278438	o0002453
Q120278755	o0002449
Q120279053	o0002450
Q120279469	o0002460
Q120279699	o0002448
Q120279846	o0002466
Q120279982	o0002446
Q120279987	o0002456
Q120280220	o0002473
Q120299003	o0002472
Q120300730	o0002465
Q120301012	o0002468
Q120301824	o0001511
Q120302151	o0001489
Q120302402	o0001496
Q120302799	o0001492
Q120303163	o0001495
Q120303475	o0001516
Q120303812	o0001515
Q120303999	o0001497
Q120304566	o0001772
Q120305042	o0001787
Q120349250	o0002643
Q120349352	o0002812
Q120350444	o0002811 o0023029
Q120350667	o0002809
Q120350764	o0002817
Q120351274	o0002818
Q120351367	o0002813
Q120351595	o0002816
Q120352006	o0002816 o0002820
Q120352183	o0002305 o0002323
Q120352447	o0002323
Q120352664	o0002304
Q120352933	o0002055
Q120353112	o0002310
Q120353287	o0002300
Q120353484	o0002327
Q120353698	o0001925 o0002323
Q121300333	o0002412
Q121302163	o0002462
Q121302193	o0002457
Q121467709	o0002125
Q121502119	o0000130
Q121507191	o0001470
Q121509869	o0000744
Q121510846	o0038408
Q121511631	o0002728
Q121511782	o0002324
Q121512050	o0001893
Q121512192	o0000097
Q121512291	o0001896
Q122416425	o0002488
Q122416691	o0001383
Q122416728	o0002066
Q122759052	o0032027
Q122759140	o0000088 o0025711
Q122901034	o0027953
Q122901047	o0002286
Q122901103	o0001989
Q122901112	o0000527
Q122901283	o0036120
Q122901292	o0001656
Q122901305	o0001973
Q122901319	o0027701
Q122901331	o0025800
Q122901457	o0025802
Q122901465	o0002564
Q122901486	o0000224
Q122901499	o0000142
Q122901510	o0000122
Q122901530	o0000155
Q122901540	o0000171
Q122901552	o0000588
Q122901563	o0000597
Q122901577	o0027690
Q122902110	o0000310
Q122902381	o0000317
Q122902390	o0000320
Q122903565	o0025860
Q122903605	o0000340
Q122903637	o0000347
Q122903697	o0025841
Q122903783	o0025844
Q122904176	o0000594 o0021461
Q122904325	o0000401
Q122905391	o0000391
Q122905411	o0025810
Q122915001	o0021192
Q122915257	o0000394
Q122917031	o0023005
Q122924547	o0002674
Q122925369	o0000911
Q122935071	o0223363
Q122935338	o0001584
Q122936619	o0002371
Q122936986	o0000763
Q122937009	o0002477
Q122937055	o0027593
Q122937105	o0001835
Q122937244	o0002076
Q122937571	o0027183
Q122937935	o0031723
Q122937980	o0027693
Q122938817	o0025786
Q122938827	o0027697
Q122947584	o0001573
Q122947612	o0025694
Q122947692	o0027597
Q122947709	o0000335
Q123034767	o0001661
Q123088120	o0002798
Q123089114	o0000758
Q123089274	o0002216
Q123089333	o0001909 o0027555
Q123118599	o0002659
Q123119273	o0002508
Q123119365	o0001375
Q123119491	o0223365
Q123155535	o0027171
Q123156380	o0027210
Q123168008	o0027197
Q123182915	o0002482
Q123226372	o0023027
Q123249273	o0000204
Q123249488	o0000193
