LAK001	U+12038
LAK002	U+12550
LAK003	U+124D5
LAK004,1	U+12142
LAK004,2	U+12142,1
LAK005	U+1212C
LAK006	U+12108
LAK007	U+12109
LAK008	U+1202D
LAK009	U+1202E
LAK010	U+1202F
LAK011	U+F1000
LAK012	U+121B0
LAK013	U+F1001
LAK014	U+1222C
LAK015	U+1222D
LAK016	U+12041
LAK017	U+12300
LAK018	U+122FE
LAK019	U+12044
LAK020	U+F1002
LAK021	U+124D6
LAK022	U+1223E
LAK023	U+122D3
LAK024	U+12262
LAK025	U+124D7
LAK026	U+121B2
LAK027	U+F1003
LAK028	U+F1004
LAK029	U+1219B
LAK030	U+124D8
LAK031	U+12336
LAK032	U+122C0
LAK033	x122C0.x121A0
LAK034	U+12220
LAK035	U+12222
LAK036	U+12261
LAK037	U+F1005
LAK038	U+1227C
LAK039	U+122DA
LAK040	U+12084
LAK041	U+12046
LAK042,1	U+12226
LAK042,2	U+12226,1
LAK043	U+12227
LAK044	U+F1006
LAK045	U+12483
LAK046,1	U+F1008
LAK046,2	U+120F0
LAK046,3	U+120F0,1
LAK046,4	U+120F0,2
LAK046a	U+F1008,1
LAK047	U+122E9
LAK048	U+1222E
LAK049	U+F1009
LAK050	U+124D9
LAK051	U+124DA
LAK052	U+12054
LAK053	U+12074
LAK054	U+1248A
LAK055	U+12075
LAK056	U+F100A
LAK057	U+12224
LAK058	U+12351
LAK059,1	U+12035
LAK059,2	U+12035,1
LAK060	U+12355
LAK061	U+F100B
LAK062	U+124DB
LAK063	x12118.x120FC
LAK064	U+12137
LAK065	x12137.x1212D
LAK066	x12137.x122DB
LAK067	U+F2000
LAK068	x12137.x1223F
LAK069	U+F100C
LAK070	U+122BB
LAK071	U+12246
LAK072	U+12245
LAK072,1	U+12245,1
LAK072,2	U+F100D
LAK073,1	U+F100E
LAK073,2	U+F100E,1
LAK073,3	U+F100E,2
LAK074	U+122E5
LAK075	U+12291
LAK076,1	U+12263
LAK076,2	U+12263,1
LAK077	U+F100F
LAK078	x12263.x121EC
LAK079	U+F1010
LAK080	U+124DD
LAK081	U+F1011
LAK082	U+12145
LAK083	U+122DB
LAK084	x122DB.x12000
LAK085	U+12538
LAK086,1	U+122DC
LAK086,2	U+122DC,1
LAK087	U+1201D
LAK088	U+12125
LAK089	U+120F7
LAK090	U+122F0
LAK091	U+12402
LAK092	U+124DF
LAK093	U+F1012
LAK094	U+121F8
LAK095	U+12252
LAK096	U+F1013
LAK097	U+12522
LAK098	U+12527
LAK099	U+F1014
LAK100	U+F1015
LAK101	U+F1016
LAK102	U+F1017
LAK103	U+F1018
LAK104	U+12256
LAK105	U+1225A
LAK106	U+12598
LAK107	U+12599
LAK108	U+1225A,1
LAK109	U+12258
LAK110	U+12528
LAK111	U+1252C
LAK112	U+12524
LAK113	U+12529
LAK114	U+12525
LAK115	U+12526
LAK116	U+12523
LAK117	U+1236B
LAK118	U+12543
LAK119,1	U+120EE
LAK119,2	U+120EE,1
LAK119,3	U+120EE,2
LAK120	U+F1019
LAK121,1	U+1227A
LAK121,2	U+1227A,1
LAK121,3	U+1227A,2
LAK122	U+1226A
LAK123	U+1211E
LAK124,1	U+12120
LAK124,2	U+12120,1
LAK125	U+F101A
LAK126	U+12225
LAK127	U+12229
LAK128	U+12033
LAK129	x1227A.x12141
LAK130	U+124E0
LAK131	U+F101B
LAK132	U+F101C
LAK133	U+1203C
LAK134	U+12440
LAK135	U+1213F
LAK136	U+1208A
LAK137	U+1208B
LAK138	U+12029
LAK139,1	U+122D7
LAK139,2	U+122D7,1
LAK140	U+12009
LAK141	U+F101E
LAK142	U+124E1
LAK143	U+12055
LAK144	U+12009,1
LAK145	U+12488
LAK146	U+122D7,2
LAK147,1	U+1218F
LAK147,2	U+1218F,1
LAK148	U+12248
LAK149a	U+F101F
LAK149b,1	U+F101F,1
LAK149b,2	U+F101F,2
LAK150	U+F1020
LAK151	U+F1021
LAK152,1	U+12311
LAK152,2	U+12311,1
LAK153	U+12048
LAK154,1	U+12087
LAK154,2	U+12087,1
LAK155	U+12323
LAK156	U+12325
LAK157	U+12319
LAK158	U+F0058
LAK159,1	U+12260
LAK159,2	U+12260,1
LAK159,3	U+12260,2
LAK160	U+120FC
LAK161	U+120FC,1
LAK162	U+1203E
LAK163	U+12156
LAK164,1	U+120F2
LAK164,2	U+120F2,1
LAK165	U+12217
LAK166	U+1221A
LAK167	U+1214A
LAK168	U+1221B
LAK169	U+12053
LAK170	U+122AD
LAK171	U+12192
LAK172	U+1214D
LAK173	U+12193
LAK174	U+121A5
LAK175,1	U+122AB
LAK175,2	U+122AB,1
LAK176	U+12335
LAK177	U+1208A,1
LAK177a	U+1208A,2
LAK178,1	U+12039
LAK178,2	U+12039,1
LAK179	U+F2001
LAK180	U+120F5
LAK181,1	U+122FB
LAK181,2	U+122FB,1
LAK182	U+122E9,1
LAK183	U+1213E
LAK184	U+F1023
LAK185	U+1244A
LAK186	U+120F8
LAK187	U+122BE
LAK188	U+122DE
LAK189	U+121F4
LAK190	U+121F5
LAK191	U+1244B
LAK192	U+F2002
LAK193	U+1244D
LAK194	U+1221D
LAK195	U+12126
LAK196	U+122B7
LAK197	U+122E7
LAK198,1	U+F1025
LAK198,2	U+F1025,1
LAK199	U+122BA
LAK200	U+12532
LAK201	U+122BB,1
LAK202	U+F1026
LAK203	U+F1027
LAK204	U+12301
LAK205	U+F1028
LAK206	U+121F7
LAK207	U+12533
LAK207a	U+F1029
LAK208	U+121AE
LAK209	U+12240
LAK210	U+124E2
LAK211	U+12305
LAK212	U+12037
LAK213	U+F102A
LAK214	U+12154
